№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3072/29/03-2,2025-12-10,"АТ ""Національна суспільна телерадіокомпанія України""","Для розгляду та врахування в роботі постанову Верховної Ради України від 4 грудня 2025 р. № 4716-ІХ «Про вшанування учасників
ліквідації наслідків аварії на Чорнобильській АЕС та про заходи, пов’язані з 40- ми роковинами Чорнобильської катастрофи»."
3073/17/03-2,2025-12-10,Коваль Ю.А.; Національна рада України з питань телебачення і радіомовлення,Надсилається за належністю звернення гр. Коваля Ю.А.
3074/23/04,2025-12-10,Міністерство культури України,"Надсилається до відома та виконання наказ МКСК від 18.04.2025 № 346 «Про введення в дослідну експлуатацію інформаційно-комунікаційної системи «Державний реєстр видавців, виготовлювачів і розповсюджувачів видавничої продукції»"
3075/23/09,2025-12-10,Міністерство фінансів України,Про надання інформації щодо складу підрозділу внутрішнього аудиту
3076/24/01,2025-12-11,"Державна служба спеціального зв""язку та захисту інформації України","Повідомляється, що листом від 26.06.2025 № 1611/22/12 поінформовано Кабінет Міністрів України про результати приведення нормативно-правових актів у відповідність до Закону.Закону України ""Про внесення змін до деяких законів України щодо захисту інформації та кіберзахисту державних інформаційних ресурсів, об''єктів критичної інформаційної інфраструктури""."
3077/23/04,2025-12-11,"Міністерство економіки, довкілля та сільського господарства України","Повідомляється, що проблемні питання та пропозиції стосовно дерегуляції господарської діяльності питань, які належать до сфери управління Держкомтелерадіо, наразі відсутні."
3078/23/06-1,2025-12-11,"Міністерство економіки, довкілля та сільського господарства України",Повідомляється про відсутність пропозицій щодо детінізації ринку праці
3079/34/11,2025-12-11,"ТОВ ""УАПРОМ""",Щодо фактів розміщення продавцем «LiderBooks» на маркетплейсі Prom.ua та на створеному на платформі Prom.ua вебсайті комерційних пропозицій щодо продажу видавничої продукції походженням з держави-агресора та Республіки Білорусь.
3080/34/11,2025-12-11,Адміністрації інтернет-магазину KnigoShop,"Стосовно порушення законодавства про державну мову фізичною особою-підприємцем Сікорою І.І., який здійснює господарську діяльність за допомогою інтернет-книгарень «Storinkabook» (вебсайт https://storinkabook.com.ua), «IQBook» (вебсайт https://iqbook.com.ua/) та «KnigaShop» (вебсайт https://knigoshop.com.ua/)."
3081//11,2025-12-11,Адміністрації інтернет-магазину STORINKA.BOOK,"Стосовно порушення законодавства про державну мову фізичною особою-підприємцем Сікорою І.І., який здійснює господарську діяльність за допомогою інтернет-книгарень «Storinkabook» (вебсайт https://storinkabook.com.ua), «IQBook» (вебсайт https://iqbook.com.ua/) та «KnigaShop» (вебсайт https://knigoshop.com.ua/)."
3082/34/11,2025-12-11,Адміністраціїінтернет-магазинуIQBook,"Стосовно порушення законодавства про державну мову фізичною особою-підприємцем Сікорою І.І., який здійснює господарську діяльність за допомогою інтернет-книгарень «Storinkabook» (вебсайт https://storinkabook.com.ua), «IQBook» (вебсайт https://iqbook.com.ua/) та «KnigaShop» (вебсайт https://knigoshop.com.ua/)."
3083/23/03-1,2025-12-12,Міністерство закордонних справ України,Інформується про відсутність пропозицій щодо проєкту Національної програми адаптації законодавства України до права Європейського Союзу за переговорним розділом 31 «Зовнішня політики та політика безпеки і оборони»
3084/23/11,2025-12-12,Секретаріат уповноваженого із захисту державної мови,"Стосовно порушення законодавства про державну мову фізичною особою-підприємцем Сікорою І.І., який здійснює господарську діяльність за допомогою інтернет-книгарень «Storinkabook» (вебсайт https://storinkabook.com.ua), «IQBook» (вебсайт https://iqbook.com.ua/) та «KnigaShop» (вебсайт https://knigoshop.com.ua/)."
3085/23/12,2025-12-12,Міністерство цифрової трансформації України,"Повідомляється, що листом від 20.06.2024 № 1749/23/12 поінформовано Мінцифри про стан виконання прикінцевих та перехідних положень Закону України «Про публічні електронні реєстри» від 18.11.2021 № 1907-ІХ."
3086/23/12,2025-12-12,Міністерство культури України,"Щодо погодження проєкту розпорядження Кабінету  Міністрів України ""Про затвердження операційного плану реалізації у 2026-2028 роках Стратегії розвитку читання на період до 2032 року “Читання як життєва стратегія”"""
